id,Statement,Code,WVS question
244-07,"I'd say unemployment aid is fairly important to democracy, reflecting the state's responsibility to its citizens.",7,Q244
244-08,"Unemployment aid is quite essential to democracy, as it ensures citizens can meaningfully participate in society.",8,Q244
244-09,"Unemployment aid is nearly indispensable to democracy, as a state that ignores it undermines democratic values.",9,Q244
244-10,"Unemployment aid is absolutely essential to democracy; without it, citizens cannot exercise their rights as equals.",10,Q244
245-01,The army taking over when government is incompetent is absolutely not a characteristic of democracy.,1,Q245
245-02,I find it very hard to see military takeover of an incompetent government as even a minor characteristic of democracy.,2,Q245
245-03,Military intervention in cases of government incompetence is largely incompatible with what I'd consider democratic characteristics.,3,Q245
245-04,I don't really think the army stepping in when government fails qualifies as a meaningful characteristic of democracy.,4,Q245
245-05,Whether military takeover of an incompetent government is a democratic characteristic is debatable (I can see it both ways).,5,Q245
245-06,"I'd say the army taking over an incompetent government has some marginal place as a characteristic of democracy, though it's far from central.",6,Q245
245-07,Military intervention when government is incompetent strikes me as a somewhat meaningful characteristic of democracy in certain contexts.,7,Q245
245-08,I think the army stepping in to replace an incompetent government is a fairly important characteristic of a functioning democracy.,8,Q245
245-09,"The military taking over when government proves incompetent is, in my view, a highly essential characteristic of democracy.",9,Q245
245-10,I consider the army's ability to take over an incompetent government an absolutely essential characteristic of democracy.,10,Q245
246-01,Civil rights protecting people from state oppression is not at all an essential characteristic of democracy.,1,Q246
246-02,Civil rights protecting people from state oppression is barely an essential characteristic of democracy.,2,Q246
246-03,Civil rights protecting people from state oppression is only slightly an essential characteristic of democracy.,3,Q246
246-04,"Civil rights protecting people from state oppression is somewhat, but not really, an essential characteristic of democracy.",4,Q246
246-05,Civil rights protecting people from state oppression is neither essential nor unessential as a characteristic of democracy.,5,Q246
246-06,Civil rights protecting people from state oppression is a somewhat essential characteristic of democracy.,6,Q246
246-07,Civil rights protecting people from state oppression is a fairly essential characteristic of democracy.,7,Q246
246-08,Civil rights protecting people from state oppression is an essential characteristic of democracy.,8,Q246
246-09,Civil rights protecting people from state oppression is a very essential characteristic of democracy.,9,Q246
246-10,Civil rights protecting people from state oppression is an absolutely essential characteristic of democracy.,10,Q246
247-01,The state making people's incomes equal is not at all an essential characteristic of democracy.,1,Q247
247-02,The state making people's incomes equal is barely an essential characteristic of democracy.,2,Q247
247-03,The state making people's incomes equal is only slightly an essential characteristic of democracy.,3,Q247
247-04,"The state making people's incomes equal is somewhat, but not really, an essential characteristic of democracy.",4,Q247
247-05,The state making people's incomes equal is neither clearly essential nor inessential as a characteristic of democracy.,5,Q247
247-06,The state making people's incomes equal is a somewhat essential characteristic of democracy.,6,Q247
247-07,The state making people's incomes equal is a moderately essential characteristic of democracy.,7,Q247
247-08,The state making people's incomes equal is quite an essential characteristic of democracy.,8,Q247
247-09,The state making people's incomes equal is a very essential characteristic of democracy.,9,Q247
247-10,The state making people's incomes equal is an absolutely essential characteristic of democracy.,10,Q247
248-01,"People obeying their rulers has absolutely nothing to do with democracy; if anything, it contradicts it.",1,Q248
248-02,I don't really see obedience to rulers as a characteristic of democracy at all.,2,Q248
248-03,Obedience to rulers is barely relevant to democracy; it's more of a side issue at best.,3,Q248
248-04,"While obedience to rulers plays some minor role, I wouldn't consider it a real hallmark of democracy.",4,Q248
248-05,"I'm torn: obedience to rulers feels somewhat related to democracy, but I wouldn't call it essential.",5,Q248
248-06,"Obedience to rulers is moderately important to democracy, though other characteristics matter more.",6,Q248
248-07,I think obedience to rulers is fairly essential to democracy functioning properly.,7,Q248
248-08,"Obedience to rulers is quite an important characteristic of democracy, in my view.",8,Q248
248-09,People obeying their rulers is very close to being a defining characteristic of democracy for me.,9,Q248
248-10,"Obedience to rulers is absolutely essential to democracy: without it, the whole system breaks down.",10,Q248
249-01,I don't think women having the same rights as men has anything to do with democracy.,1,Q249
249-02,Women's equal rights are barely relevant to what makes a democracy.,2,Q249
249-03,"I see women's equal rights as a minor, non-essential feature of democracy.",3,Q249
249-04,"Women's equal rights are somewhat related to democracy, but not a defining characteristic.",4,Q249
249-05,"I think women's equal rights are moderately important to democracy, though not fundamental.",5,Q249
249-06,"Women's equal rights matter to democracy, even if they're not strictly essential.",6,Q249
249-07,I consider women's equal rights a fairly important characteristic of democracy.,7,Q249
249-08,Women's equal rights are quite essential to what I'd call a true democracy.,8,Q249
249-09,I think women having the same rights as men is nearly indispensable to democracy.,9,Q249
249-10,Women having the same rights as men is absolutely essential to democracy.,10,Q249
250-01,Living in a democracy means nothing to me.,1,Q250
250-02,Whether my country is democratic barely crosses my mind.,2,Q250
250-03,I don't put much weight on living in a democratic country.,3,Q250
250-04,"Living in a democracy is somewhat of a consideration for me, but not a strong one.",4,Q250
250-05,I'm somewhat indifferent about whether my country is democratic or not.,5,Q250
250-06,"Living in a democratic country matters to me, though it's not my top priority.",6,Q250
250-07,It's fairly important to me to live in a country that is democratically governed.,7,Q250
250-08,Living under a democratic government is quite important to me.,8,Q250
250-09,It's very important to me that my country is governed democratically.,9,Q250
250-10,Living in a democratically governed country is absolutely essential to me.,10,Q250
251-01,This country is governed by an authoritarian regime with no democratic process whatsoever.,1,Q251
251-02,"Democratic governance is almost entirely absent, with only superficial traces remaining.",2,Q251
251-03,"There are very few democratic elements, and the government largely operates without accountability.",3,Q251
251-04,"Democratic governance is weak and inconsistent, with significant authoritarian tendencies.",4,Q251
251-05,"The country has some democratic structures, but they are undermined by serious flaws.",5,Q251
251-06,"Governance is moderately democratic, though notable gaps and weaknesses persist.",6,Q251
251-07,"The country is fairly democratically governed, despite some remaining shortcomings.",7,Q251
251-08,"Democratic governance is mostly solid, with only minor issues affecting its quality.",8,Q251
251-09,"The country is governed very democratically, with only marginal room for improvement.",9,Q251
251-10,"This country is governed in a fully democratic manner, serving as a model for others.",10,Q251
252-01,I am completely dissatisfied with how the political system is functioning in my country.,1,Q252
252-02,I am very dissatisfied with how the political system is functioning in my country.,2,Q252
252-03,I am quite dissatisfied with how the political system is functioning in my country.,3,Q252
252-04,I am somewhat dissatisfied with how the political system is functioning in my country.,4,Q252
252-05,I am neither satisfied nor dissatisfied with how the political system is functioning in my country.,5,Q252
252-06,I am slightly satisfied with how the political system is functioning in my country.,6,Q252
252-07,I am somewhat satisfied with how the political system is functioning in my country.,7,Q252
252-08,I am quite satisfied with how the political system is functioning in my country,8,Q252
252-09,I am very satisfied with how the political system is functioning in my country.,9,Q252
252-10,I am completely satisfied with how the political system is functioning in my country.,10,Q252
253-01,There is a great deal of respect for individual human rights in this country nowadays.,1,Q253
253-02,There is fairly much respect for individual human rights in this country nowadays.,2,Q253
253-03,There is not much respect for individual human rights in this country nowadays.,3,Q253
253-04,There is no respect at all for individual human rights in this country nowadays.,4,Q253
300-01,I feel the political system gives people like me a great deal of say in what the government does.,1,SDG1
300-02,I feel the political system gives people like me quite a lot of say in what the government does.,2,SDG1
300-03,I feel the political system gives people like me some say in what the government does.,3,SDG1
300-04,I feel the political system gives people like me very little say in what the government does.,4,SDG1
300-05,I feel the political system gives people like me no say at all in what the government does.,5,SDG1
